,name,header,image,bio
11,Edwin Austin Abbey,Edwin Austin Abbey,/wiki/File:Edwin_Austin_Abbey_cropped.jpg,"['Edwin Austin Abbey RA (April 1, 1852\xa0– August 1, 1911) was an American muralist, illustrator, and painter. He flourished at the beginning of what is now referred to as the ""golden age"" of illustration, and is best known for his drawings and paintings of Shakespearean and Victorian subjects, as well as for his painting of Edward VII\'s coronation.[1][2][3] His most famous set of murals, The Quest and Achievement of the Holy Grail, adorns the Boston Public Library.\n']"
12,Francis Alexander,Francis Alexander,/wiki/File:SelfPortrait_ca1830_byFrancisAlexander_MFABoston.jpeg,"['Francis Alexander (February 3, 1800\xa0– March 27, 1880)[1] was an American portrait-painter.\n']"
13,Henry Alexander,Henry Alexander,/wiki/File:Disambig_gray.svg,['Henry Alexander may refer to:\n']
14,John White Alexander,John White Alexander,/wiki/File:John_White_Alexander.jpg,"['John White Alexander (7 October 1856 – 31 May 1915) was an American portrait, figure, and decorative painter and illustrator.\n']"
15,Washington Allston,Washington Allston,/wiki/File:Washington_Allston.jpeg,"[""Washington Allston ARA (November 5, 1779 – July 9, 1843) was an American painter and poet, born in Waccamaw Parish, South Carolina. Allston pioneered America's Romantic movement of landscape painting. He was well known during his lifetime for his experiments with dramatic subject matter and his bold use of light and atmospheric color.\n""]"
16,Ezra Ames,Ezra Ames,/wiki/File:Joseph_Brant_by_Ezra_Ames.jpg,"['Ezra Ames (May 5, 1768 – February 23, 1836) was a popular portrait painter in Albany, New York during the late 18th and early 19th centuries.  More than 700 portraits have been attributed to him.\n']"
17,Joseph Alexander Ames,Joseph Alexander Ames,/wiki/File:Joseph_Ames_by_Kilburn_1859.png,"['Joseph Alexander Ames (1816—1872) was an American artist, primarily known for portrait and genre painting. Originally named Joseph Emes, he was born in Roxbury, New Hampshire. Ames began painting at a young age. At the age of twelve Henry Theodore Tuckerman wrote about one of his paintings. After moderate success at home in Saugus, Massachusetts, he left for Boston in 1841. While in Boston, Ames tried to replicate the style of Washington Allston. In 1848, Ames traveled to Rome, where he painted a portrait of Pope Pius IX that was featured at the National Academy of Design\'s annual exhibition in 1850. When he returned from Italy he was commissioned by Rufus Choate, Daniel Webster, and Abraham Lincoln. He kept a studio in Boston in Amory Hall (ca.1849),[1] and later on Tremont Street (ca.1856),[2] and then on Summer Street.[3] Ames exhibited at the Boston Athenæum, the National Academy of Design, and the Pennsylvania Academy. He eventually moved to Baltimore, and then to New York, where he died of a ""brain fever"".\n']"
18,Ambrose Andrews,Ambrose Andrews,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
19,Thomas Anshutz,Thomas Pollock Anshutz,/wiki/File:TPAnshutz.jpg,"['Thomas Pollock Anshutz (October 5, 1851 – June 16, 1912) was an American painter and teacher. Co-founder of The Darby School and leader at the Pennsylvania Academy of Fine Arts, Anshutz was known for his award-winning portraiture work and working friendship with Thomas Eakins.\n']"
20,John Woodhouse Audubon,John Woodhouse Audubon,/wiki/File:John_Woodhouse_Audubon.jpg,"['John Woodhouse Audubon (30 November 1812, Henderson, Kentucky – 21 February 1862, New York City) was the second son of the famed ornithologist and painter, John James Audubon. Like his father, he was primarily a painter of wildlife, but also did some portraits and genre scenes of the westward migration.\n']"
21,Joseph Badger,Joseph Badger,/wiki/File:Brooklyn_Museum_-_John_Haskins_-_Joseph_Badger_-_overall.jpg,"['Joseph Badger (c. 1707–1765) was a portrait artist in Boston, Massachusetts, in the 18th century. He was born in Charlestown, Massachusetts, to tailor Stephen Badger and Mercy Kettell. He ""began his career as a house-painter and glazier, and ... throughout his life continued this work, besides painting signs, hatchments and other heraldic devices, in order to eke out a livelihood when orders for portraits slackened.""[1] In 1731 he married Katharine Felch; they moved to Boston around 1733.  He was a member of the Brattle Street Church.[1] He died in Boston in May, 1765, when ""taken with an apoplectic fit as he was walking in his garden, and expired in a few minutes after.""[2] Works by Badger are in the collections of the Worcester Art Museum, the Museum of Fine Arts Boston, and Historic New England\'s Phillips House, Salem, Mass.\n']"
22,G. Baker,G. Baker,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
23,George Augustus Jr. Baker,George Augustus Jr. Baker,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
24,W. H. Bean,Bean Brothers,unfound,[]
25,Cecilia Beaux,Cecilia Beaux,/wiki/File:Cecilia_Beaux.jpg,"['Cecilia Beaux (May 1, 1855 – September 17, 1942) was an American society portraitist, in the manner of John Singer Sargent. She was a near-contemporary of American artist Mary Cassatt and also received her training in Philadelphia and France. Her sympathetic renderings of the American ruling class made her one of the most successful portrait painters of her era.\n']"
26,J. Carroll Beckwith,James Carroll Beckwith,/wiki/File:James-carroll-beckwith.jpg,"['James Carroll Beckwith (September 23, 1852 – October 24, 1917) was an American landscape, portrait and genre painter whose Naturalist style led to his recognition in the late nineteenth and very early twentieth century as a respected figure in American art.\n']"
27,Henry Benbridge,Henry Benbridge,/wiki/File:%22Self_Portrait%22_by_Henry_Benbridge_(ca.1770-1790).jpg,"['Henry Benbridge (October 1743 [1] – February 1812) was an early American portrait painter. He was born in Philadelphia, the only child of James and Mary (Clark) Benbridge. When he was seven years old, his mother, who had been left a widow, was married to Thomas Gordon, a wealthy Scot. The boy\'s artistic talent was encouraged. He made decorative designs for his stepfather\'s drawing-room which were much admired. When he was fourteen years old he may have watched John Wollaston paint Gordon\'s portrait. It has been plausibly argued[2] that young Benbridge had instruction from Wollaston, since his earliest known portrait, that of his half-sister Rebecca Gordon, ""seems to hark back to Wollaston."" When he was 21, Benbridge was sent to Italy, where he studied with Pompeo Batoni and Anton Raphael Mengs. In 1769, on commission from James Boswell, biographer of Dr. Samuel Johnson, he made a portrait of Pasquale Paoli in Corsica which he took to London. It was exhibited (1769) at the Free Society of Artists, and from it three mezzotints were scraped and published with the artist\'s name signed ""Bembridge."" Like other young Americans he was encouraged by Benjamin West. He wrote, on December 7, 1769, to his stepfather: ""Upon my arrival I waited upon Mr. West who received me with a sort of brotherly affection, as did my cousin, Mrs. West."" Impelled, apparently, by a longing to rejoin his family, he left England in 1770, bearing from West the following note of recommendation to Francis Hopkinson: ""By Mr. Benbridge you will receive these few lines. You will find him an Ingenous artist and an agreeable Companion. His merit in the art must procure him great incouragement and much esteem. I deare say it will give you great pleasure to have an ingenous artist resident amongst you.""\n']"
28,Frank W. Benson,Frank Benson,/wiki/File:Disambig_gray.svg,['Frank Benson may refer to:\n']
29,Albert Bierstadt,Albert Bierstadt,/wiki/File:Bierstadt.jpg,"['Albert Bierstadt (January 7, 1830\xa0– February 18, 1902) was a German-American painter best known for his lavish, sweeping landscapes of the American West. He joined several journeys of the Westward Expansion to paint the scenes. He was not the first artist to record the sites, but he was the foremost painter of them for the remainder of the 19th century.\n']"
30,George Caleb Bingham,George Caleb Bingham,/wiki/File:George_Caleb_Bingham_-_Self-Portrait_of_the_Artist.jpg,"['George Caleb Bingham (March 20, 1811 – July 7, 1879) was an American artist, soldier and politician known in his lifetime as ""the Missouri Artist"".[1] Initially a Whig, he was elected as a delegate to the Missouri legislature before the American Civil War where he fought the extension of slavery westward. During that war, although born in Virginia, Bingham was dedicated to the Union cause and became captain of a volunteer company which helped keep the state from joining the Confederacy, and then served four years as Missouri\'s Treasurer. During his final years, Bingham held several offices in Kansas City, while also serving as Missouri\'s Adjutant General.[2] His paintings of American frontier life  along the Missouri River exemplify the Luminist style.[3]\n']"
31,Joseph Blackburn,Joseph Blackburn,/wiki/File:Disambig_gray.svg,['Joseph Blackburn may refer to:\n']
32,Ralph Albert Blakelock,Ralph Albert Blakelock,/wiki/File:Ralph_Albert_Blakelock.jpg,"['Ralph Albert Blakelock (October 15, 1847 – August 9, 1919) was a romanticist American painter known primarily for his landscape paintings related to the Tonalism movement.\n']"
33,Edwin Howland Blashfield,Edwin Blashfield,/wiki/File:Edwin_Blashfield.jpg,"['Edwin Howland Blashfield (December 5, 1848\xa0– October 12, 1936) was an American painter and muralist, most known for  painting the murals on the dome of the Library of Congress Main Reading Room in Washington, DC.[1]\n']"
34,Jacob D. Blondel,Jacob D. Blondel,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
35,Robert Frederick Blum,Robert Frederick Blum,/wiki/File:Etching_of_Robert_Frederick_Blum.jpg,"['Robert Frederick Blum (9 July 1857 – 8 June 1903) was an American artist. He was one of the youngest members of the National Academy of Design, was President of the Painters in Pastel, a member of the Society of American Artists, and the American Watercolor Society.\n']"
36,David Gilmour Blythe,David Gilmour Blythe,/wiki/File:David_Gilmour_Blythe_-_Man_Eating_in_a_Field.jpg,"[""David Gilmour Blythe (May 9, 1815 – May 15, 1865) was a self-taught American artist best known for paintings which satirically portrayed political and social situations.  Blythe was also an accomplished portraitist and poet. He is widely regarded as the Pittsburgh region's pre-eminent nineteenth-century painter.\n""]"
37,Otto Boetticher,Otto Boetticher,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
38,George H. Bogert,George H. Bogert,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
39,Frank Myers Boggs,Frank Myers Boggs,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
40,William Bradford,William Bradford,/wiki/File:Disambig_gray.svg,['William or Bill Bradford may refer to:\n']
41,John Bradley,John Bradley,/wiki/File:Disambig_gray.svg,['John Bradley may refer to:\n']
42,Alfred Thompson Bricher,Alfred Thompson Bricher,/wiki/File:Alfred_Thompson_Bricher.jpg,"['Alfred Thompson Bricher (April 10, 1837 – September 30, 1908) was a painter associated with White Mountain art and the Hudson River School.\n']"
43,George Loring Brown,George Loring Brown,/wiki/File:1891_GeorgeLBrown_Boston.png,"['George Loring Brown  (February 2, 1814 – June 25, 1889) was an American landscape painter.  He was born in Boston and first studied wood engraving under Alonzo Hartwell and worked as an illustrator.  He studied painting with Washington Allston, but soon went to Europe, residing principally in Italy for years.  Brown spent much of his life abroad, and the motives of his pictures are usually Italian, and there is nothing specifically American about them either in treatment or sentiment.  Among the best are ""Sunset in Genoa"" (1875), ""Doges\' Palace and Grand Canal,"" ""Bay of Naples,"" ""Niagara Falls in Moonlight.""  ""The Bay of New York"" (1869) was acquired by King Edward VII when visiting America as Prince of Wales.\n']"
44,John George Brown,John George Brown,/wiki/File:John_George_Brown_-_Self-portrait_(1908).jpg,"['John George Brown (November 11, 1831, Durham, England – February 8, 1913, New York City) was a British citizen and an American painter who specialized in genre scenes. \n']"
45,Mather Brown,Mather Brown,/wiki/File:Mather_Brown_self-portrait.jpg,"['Mather Brown (baptized October 11, 1761 – May 25, 1831) was a portrait and historical painter, born in Boston, Massachusetts, but active in England.\n']"
46,Matilda Auchincloss Brownell,Matilda Auchincloss Brownell,unfound,"['Matilda Auchincloss Brownell (October 19, 1871 – September 15, 1966) was an American Impressionist painter and portraitist.\n']"
47,George de Forest Brush,George de Forest Brush,/wiki/File:George_de_Forest_Brush_cph.3a45964.jpg,"['George de Forest Brush (September 28, 1855 – April 24, 1941) was an American painter and Georgist.[1] In collaboration with his friend, the artist Abbott H. Thayer, he made contributions to military camouflage, as did his wife, aviator and artist Mary (called Mittie) Taylor (Whelpley) Brush,[2] and their son, the sculptor Gerome Brush.\n']"
48,William Gedney Bunce,William Gedney Bunce,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
49,Dennis Miller Bunker,Dennis Miller Bunker,/wiki/File:Question_book-new.svg,"['Dennis Miller Bunker (November 6, 1861 – December 28, 1890) was an American painter and innovator of American Impressionism. His mature works include both brightly colored landscape paintings and dark, finely drawn portraits and figures. One of the major American painters of the late 19th century,[1] and a friend of many prominent artists of the era, Bunker died from meningitis at the age of 29.\n']"
50,Bryson Burroughs,Bryson Burroughs,/wiki/File:Bryson_Burroughs_-_June_-_Google_Art_Project.jpg,"[""Bryson Burroughs (1869–1934) was an American artist and employee of the Metropolitan Museum of Art. He began there as an assistant to Curator of Paintings Roger Fry, and when Fry left in 1909, Burroughs assumed the role.[1] His purchase of View of the Domaine Saint-Joseph for the museum became the first of Paul Cezanne's paintings to enter a public collection.[1][2] He also purchased the Crucifixion and Last Judgement diptych and The Harvesters for the Met.[1]\n""]"
51,Howard Russel Butler,Howard Russel Butler,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
52,Theodore Earl Butler,Theodore Earl Butler,/wiki/File:Portrait_of_Butler.jpg,"['Theodore Earl Butler, (1861–1936) was an American impressionist painter. He was born in Columbus, Ohio, and moved to Paris to study art. He befriended Claude Monet in Giverny, and married his stepdaughter, Suzanne Hoschedé. After her death he married her sister, Marthe Hoschedé. Butler was a founding member of the Society of Independent Artists.\n']"
53,James H. Cafferty,James H. Cafferty,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
54,John Carlin,John Carlin,/wiki/File:Disambig_gray.svg,['John Carlin may refer to:\n']
55,Emil Carlsen,Emil Carlsen,/wiki/File:Emil_Carlsen_artist_photo_-_crop.jpg,"['Soren Emil Carlsen (October 19, 1853 – January 2, 1932, New York City, U.S.[2]) was an American Impressionist painter who emigrated to the United States from Denmark.[3] He became known for his still lifes. Later in his career Carlsen expanded his range of subjects and becoming known for landscapes and marines as well.[4]\n']"
56,John Fabian Carlson,John F. Carlson,/wiki/File:John_F._Carlson_SAAM_J0001343_1b.jpg,"['John Fabian Carlson (May 5, 1875 – May 19, 1947) was a Swedish-born American Impressionist painter.\n']"
57,John William Casilear,John William Casilear,/wiki/File:Asher_Brown_Durand_-_John_W._Casilear.jpg,"['John William Casilear (June 25, 1811 – August 17, 1893) was an American landscape artist belonging to the Hudson River School.\n']"
58,Mary Cassatt,Mary Cassatt,/wiki/File:Mary_Cassatt_photograph_1913.jpg,"[""Mary Stevenson Cassatt (/kəˈsæt/; May 22, 1844\xa0– June 14, 1926)[1] was an American painter and printmaker. She was born in Allegheny City, Pennsylvania (now part of Pittsburgh's North Side), but lived much of her adult life in France, where she first befriended Edgar Degas and later exhibited among the Impressionists. Cassatt often created images of the social and private lives of women, with particular emphasis on the intimate bonds between mothers and children.\n""]"
59,Charles Robert Leslie,Charles Robert Leslie,/wiki/File:Charles_Robert_Leslie_by_Charles_Robert_Leslie.jpg,['Charles Robert Leslie RA (19 October 1794 – 5 May 1859) was an English genre painter.\n']
60,Francis William Edmonds,Francis William Edmonds,/wiki/File:Francis_William_Edmonds.jpg,"['Francis William Edmonds (November 22, 1806 – February 7, 1863) was an American painter of genre subjects.\n']"
61,Jefferson D. Chalfant,Jefferson D. Chalfant,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
62,Thomas Chambers,Tom Chambers,/wiki/File:Disambig_gray.svg,['Tom Chambers or Thomas Chambers may refer to:\n']
63,Robert Winthrop Chanler,Robert Winthrop Chanler,/wiki/File:Robert_Winthrop_Chanler..jpg,"['Robert Winthrop Chanler (February 22, 1872 – October 24, 1930) was an American artist and member of the Astor and Dudley–Winthrop families.[1] A designer and muralist, Chanler received much of his art training in France at the École des Beaux-Arts, and there his most famous work, titled ""Giraffes"", was completed in 1905 and later purchased by the French Government. Robert D. Coe, who studied with him, described Chanler as being ""eccentric and almost bizarre."" Chanler rose to prominence as an acclaimed American artist when his work was exhibited in the 1913 Armory Show in New York City.\n']"
64,John Gadsby Chapman,John Gadsby Chapman,/wiki/File:Baptism_of_Pocahontas.jpg,"['John Gadsby Chapman (December 3, 1808 – November 28, 1889) was an American artist famous for Baptism of Pocahontas, which was commissioned by the United States Congress and hangs in the United States Capitol rotunda.\n']"
65,Alonzo Chappel,Alonzo Chappel,/wiki/File:Alonzo_Chappel.jpg,"['Alonzo Chappel (1828–1887) was an American painter, best known for paintings depicting personalities and events from the American Revolution and early 19th-century American history.\n']"
66,William P. Chappel,William P. Chappel,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
67,William Merritt Chase,William Merritt Chase,/wiki/File:William_Merritt_Chase.jpg,"['William Merritt Chase (November 1, 1849 – October 25, 1916) was an American painter, known as an exponent of Impressionism and as a teacher. He is also responsible for establishing the Chase School, which later would become Parsons School of Design.\n']"
68,George Chinnery,George Chinnery,/wiki/File:George_Chinnery_by_George_Chinnery.jpg,"['George Chinnery (Chinese: 錢納利; 5 January 1774 – 30 May 1852) was an English painter who spent most of his life in Asia, especially India and southern China.\n']"
69,Frederic Edwin Church,Frederic Edwin Church,/wiki/File:Frederic_Edwin_Church_-_Brady-Handy_(cropped).jpg,"[""Frederic Edwin Church (May 4, 1826 – April 7, 1900) was an American landscape painter born in Hartford, Connecticut. He was a central figure in the Hudson River School of American landscape painters, best known for painting large landscapes, often depicting mountains, waterfalls, and sunsets. Church's paintings put an emphasis on realistic detail, dramatic light, and panoramic views. He debuted some of his major works in single-painting exhibitions to a paying and often enthralled audience in New York City. In his prime, he was one of the most famous painters in the United States.\n""]"
70,Edmund C. Coates,Edmund C. Coates,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
71,William Coffin,William Coffin,/wiki/File:Disambig_gray.svg,['William Coffin may refer to:\n']
72,Thomas Cole,Thomas Cole,/wiki/File:Thomas_Cole.jpg,"[""Thomas Cole (February 1, 1801\xa0– February 11, 1848) was an English-born American painter known for his landscape and history paintings. One of the major 19th-century American painters, he is regarded as the founder of the Hudson River School,[1][2] an American art movement that flourished in the mid-19th century. Cole's work is known for its romantic portrayal of the American wilderness.[3]\n""]"
73,Alfred Q. Collins,Alfred Q. Collins,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
74,Samuel Colman,Samuel Colman,/wiki/File:Samuel_Colman_(British_painter).jpg,"['Samuel Colman (March 4, 1832 – March 26, 1920) was an American painter, interior designer, and writer, probably best remembered for his paintings of the Hudson River.\n']"
75,Charlotte Buell Coman,Charlotte B. Coman,/wiki/File:Photo_of_Charlotte_B._Coman.jpg,"['Charlotte Buell Coman (1833 – November 11, 1924)[1] was an American painter.\n']"
76,Nelson Cook,Nelson Cook,/wiki/File:Francis_Bond_Head.jpg,"['Nelson Cook (1808–1892) was an American portraitist and ""occasional poet.""[1]\n']"
77,Colin Cambell Cooper,Colin Cambell Cooper,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
78,Alfred Copestick,Alfred Copestick,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
79,John Singleton Copley,John Singleton Copley,/wiki/File:John_Singleton_Copley_-_John_Singleton_Copley_Self-Portrait_-_Google_Art_Project.jpg,"['John Singleton Copley[pronunciation?] RA (1738[1] – September 9, 1815) was an Anglo-American painter, active in both colonial America and England. He was probably born in Boston, Massachusetts, to Richard and Mary Singleton Copley, both Anglo-Irish. After becoming well-established as a portrait painter of the wealthy in colonial New England,[2][3] he moved to London in 1774, never returning to America.  In London he met considerable success as a portraitist for the next two decades, and also painted a number of large history paintings, which were innovative in their readiness to depict modern subjects and modern dress.  His later years were less successful, and he died heavily in debt.\n']"
80,Eanger Irving Couse,E. Irving Couse,/wiki/File:Eanger_Irving_Couse.jpg,"['Eanger Irving Couse (September 3, 1866 – April 26, 1936) was an American artist and a founding member and first president of the Taos Society of Artists. Born and reared in Saginaw, Michigan, he went to New York City and Paris to study art. While spending summers in Taos, he began to make the paintings of Native Americans, New Mexico, and the American Southwest for which he is best known. He later settled full time in Taos.\n']"
81,Kenyon Cox,Kenyon Cox,/wiki/File:Kenyon_Cox.jpg,"[""Kenyon Cox (October 27, 1856 – March 17, 1919) was an American painter, illustrator, muralist, writer, and teacher. Cox was an influential and important early instructor at the Art Students League of New York. He was the designer of the League's logo, whose motto is Nulla Dies Sine Linea or No Day Without a Line.\n""]"
82,Caroline Cranch,Caroline Cranch,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
83,Bruce Crane,Bruce Crane,/wiki/File:Bruce_Crane_sitting.jpg,"['Robert Bruce Crane (1857\xa0– October 30, 1937) was an American painter. He joined the Lyme Art Colony in the early 1900s. His most active period, though, came after 1920, when for more than a decade he did oil sketches of woods, meadows, and hills. He developed into a Tonalist painter under the influence of Jean-Charles Cazin at Grez-sur-Loing. Crane’s mature works were nearly always fall and winter scenes. He usually painted in his studio in Bronxville, New York, where like many of the Tonalists he relied mostly on memories of his outdoor sketching experiences. Selected work can be found at the Florence Griswold Museum and the Newark Museum. He is a descendant of the Continental Congressman Stephen Crane.[1]\n']"
84,Jasper Francis Cropsey,Jasper Francis Cropsey,"/wiki/File:Jasper_Francis_Copsey,_by_Edward_L._Mooney.jpg","['Jasper Francis Cropsey (February 18, 1823 – June 22, 1900) was an important American landscape artist of the Hudson River School.[1]\n']"
85,Johan Mengels Culverhouse,Johan Mengels Culverhouse,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
86,Léon Dabo,Léon Dabo,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
87,Elliott Daingerfield,Elliott Daingerfield,/wiki/File:Sign-detail-daingerfield-paintings.jpg,"[""Elliott Daingerfield (1859–1932) was an American artist who lived and worked in North Carolina. He is considered one of North Carolina's most prolific artists.[1]\n""]"
88,William P. W. Dana,William P. W. Dana,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
89,William Dannat,William Dannat,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
90,Arthur B. Davies,Arthur Bowen Davies,/wiki/File:Arthur_B._Davies.jpg,"['Arthur Bowen Davies (September 26, 1862 – October 24, 1928) was an avant-garde American artist and influential advocate of modern art in the United States c. 1910–1928.\n']"
91,Charles H Davis,Charles H Davis,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
92,Joseph Decker,Joseph Decker,"/wiki/File:%27Upset%27_painting_by_Joseph_Decker,_1887,.JPG","['Joseph Decker (1853, Nuremberg - 1 April 1924, Brooklyn) was a German-born American painter who specialized in still-lifes. His subjects were mostly of edible, rather than man-made objects.\n']"
93,Louis Paul Dessar,Louis Paul Dessar,/wiki/File:Dessar-Summer_sunlight.jpg,"[""Louis Paul Dessar (January 22, 1867 - February 14, 1952) was an American painter. He painted the portraits of New York City's high society as well as Connecticut's farmers.\n""]"
94,Charles Melville Dewey,Charles Melville Dewey,/wiki/File:Sunshine_and_Shadow_by_Charles_Melville_Dewey.jpg,"[""Charles Melville Dewey (1849–1937) was an American tonalist painter.  He was born in Lowville, N. Y.  Confined to his bed from his twelfth to his seventeenth year by a hip disease, he formed the poetic conception of nature which appears in his pictures. He studied in the schools of the National Academy of Design, New York (1874–76), and in Paris under Carolus-Duran, whom he assisted to paint a ceiling in the Louvre.  In 1878 he returned to New York.  Dewey's work has much highly individual, poetic sentiment and generally depicts subdued morning and evening effects.  His landscapes in oil and water color are in many public galleries and private collections in the United States.  Among his best are: \n""]"
95,Thomas Wilmer Dewing,Thomas Dewing,/wiki/File:Thomas_Wilmer_Dewing.jpg,"['Thomas Wilmer Dewing (May 4, 1851 – November 5, 1938) was an American painter working at the turn of the 20th century. Schooled in Paris, Dewing was noted for his figure paintings of aristocratic women. He was a founding member of the Ten American Painters and taught at the Art Students League of New York. The Freer Gallery of Art at the Smithsonian Institution has a collection of his works.[1] He was the husband of fellow artist Maria Oakey Dewing.\n']"
96,William de Leftwich Dodge,William de Leftwich Dodge,/wiki/File:Death-Of-Minnehaha_Dodge.jpg,"['William de Leftwich Dodge (1867–1935) was an American artist best known for his murals, which were commissioned for both public and private buildings.\n']"
97,Ruger Donoho,Ruger Donoho,/wiki/File:Wiktionary-logo-v2.svg,['Other reasons this message may be displayed:\n']
98,Thomas Doughty,Thomas Doughty,/wiki/File:Disambig_gray.svg,['Thomas Doughty may refer to:\n']
99,Robert S. Duncanson,Robert S. Duncanson,/wiki/File:Robert_S._Duncanson_(1821-1872).jpg,"['Robert Seldon Duncanson (1821 – December 21, 1872) was a nineteenth century American artist of European and African ancestry known for his contributions to landscape painting. Inspired by famous American landscape artists like Thomas Cole, Duncanson created renowned landscape paintings and is considered a second generation Hudson River School artist.[1][2] Duncanson spent the majority of his career in Cincinnati, Ohio and helped develop the Ohio River Valley landscape tradition.[2] As a free black man in antebellum America, Duncanson utilized the white abolitionist community in America and England to support and promote his work.[3] Duncanson is considered the first African-American artist to be internationally known.[3] He operated in the elite cultural circles of Cincinnati, Detroit, Montreal, and London. The primary art historical debate centered on Duncanson concerns the role that contemporary racial issues played in his work. Some art historians, like Joseph D. Ketner, believe that Duncanson used racial metaphors in his artwork, while others, like Margaret Rose Vendryes, discourage viewers from approaching his art with a racialized perspective.\n']"
100,William Dunlap,William Dunlap,/wiki/File:William_Dunlap_Engraving.jpg,"[""William Dunlap (February 19, 1766 – September 28, 1839) was a pioneer of American theater. He was a producer, playwright, and actor, as well as a historian. He managed two of New York City's earliest and most prominent theaters, the John Street Theatre (from 1796–98) and the Park Theatre (from 1798–1805). He was also an artist, despite losing an eye in childhood.\n""]"
