,Surname,First_name,Full_name,Birth_date,Death_date,Artist_id
172,Jarvis,John Wesley,John Wesley Jarvis,1780      ,1840      ,172
173,Johnson,David,David Johnson,1827      ,1908      ,173
174,Johnson,Eastman,Eastman Johnson,1824      ,1906      ,174
175,Johnson,Joshua,Joshua Johnson,1758      ,1829      ,175
176,Johnston,William,William Johnston,1732      ,1772      ,176
177,Jones,Francis Coates,Francis Coates Jones,1857      ,1932      ,177
178,Jones,H. Bolton,H. Bolton Jones,1848      ,1927      ,178
179,Jongers,Alphonse,Alphonse Jongers,1872      ,1945      ,179
180,Jouett,Matthew Harris,Matthew Harris Jouett,1788      ,1827      ,180
181,Kaufmann,Theodor,Theodor Kaufmann,1814      ,1896      ,181
182,Keith,William,William Keith,1839      ,1911      ,182
183,Kemmelmeyer,Frederick,Frederick Kemmelmeyer,1755      ,1821      ,183
184,Kendall,William Sergeant,William Sergeant Kendall,1869      ,1938      ,184
185,Kensett,John Frederick,John Frederick Kensett,1816      ,1872      ,185
186,Kidd,Joseph Bartholomew,Joseph Bartholomew Kidd,1808      ,1889      ,186
187,Kittell,Nicholas Biddle,Nicholas Biddle Kittell,1822      ,1894      ,187
188,Klumpke,Anna,Anna Klumpke,1856      ,1942      ,188
189,Kyle,Joseph,Joseph Kyle,1815      ,1863      ,189
190,Lambdin,George Cochran,George Cochran Lambdin,1830      ,1896      ,190
191,Lane,Fitz Henry,Fitz Henry Lane,1804      ,1865      ,191
192,Lang,Louis,Louis Lang,1814      ,1893      ,192
193,Lathrop,William Langson,William Langson Lathrop,1859      ,1938      ,193
194,Lawson,Ernest,Ernest Lawson,1873      ,1939      ,194
195,Lazarus,Jacob Hart,Jacob Hart Lazarus,1822      ,1891      ,195
196,Le Clear,Thomas,Thomas Le Clear,1818      ,1882      ,196
197,Leutze,Emanuel,Emanuel Leutze,1816      ,1868      ,197
198,Lillie,John,John Lillie,1867      ,1944      ,198
199,Linen,George,George Linen,1802      ,1888      ,199
200,Lockman,De Witt McClellan,De Witt McClellan Lockman,1870      ,1957      ,200
201,Lockwood,Wilton,Wilton Lockwood,1861      ,1914      ,201
202,Loop,Henry Augustus,Henry Augustus Loop,1831      ,1895      ,202
203,Low,Will H.,Will H. Low,1853      ,1932      ,203
204,MacCameron,Robert,Robert MacCameron,1866      ,1912      ,204
205,MacMonnies,Frederick William,Frederick William MacMonnies,1863      ,1937      ,205
206,Magrath,William,William Magrath,1838      ,1918      ,206
207,Mare,John,John Mare,1739      ,1803      ,207
208,Martin,Homer Dodge,Homer Dodge Martin,1836      ,1897      ,208
209,Mathews,Arthur Frank,Arthur Frank Mathews,1860      ,1945      ,209
210,Mayer,Francis Blackwell,Francis Blackwell Mayer,1827      ,1899      ,210
211,Maynard,George Willoughby,George Willoughby Maynard,1843      ,1923      ,211
212,McEntee,Jervis,Jervis McEntee,1828      ,1891      ,212
213,Mead,F. A.,F. A. Mead,Unknown,Unknown,213
214,Melchers,Gari,Gari Melchers,1860      ,1932      ,214
215,Metcalf,Willard,Willard Metcalf,1858      ,1925      ,215
216,Millet,Frank,Frank Millet,1846      ,1912      ,216
217,Moeller,Louis,Louis Moeller,1855      ,1930      ,217
218,Moise,Theodore Sidney,Theodore Sidney Moise,1808      ,1885      ,218
219,Mora,F. Luis,F. Luis Mora,1874      ,1940      ,219
220,Moran,Edward,Edward Moran,1829      ,1901      ,220
221,Moran,Thomas,Thomas Moran,1837      ,1926      ,221
222,Morse,Samuel F. B.,Samuel F. B. Morse,1791      ,1872      ,222
223,Mosler,Henry,Henry Mosler,1841      ,1920      ,223
224,Moulthrop,Reuben,Reuben Moulthrop,1763      ,1814      ,224
225,Mount,Shepard Alonzo,Shepard Alonzo Mount,1804      ,1868      ,225
226,Mount,William Sidney,William Sidney Mount,1807      ,1868      ,226
227,Mowbray,Henry Siddons,Henry Siddons Mowbray,1858      ,1928      ,227
228,Murphy,John Francis,John Francis Murphy,1853      ,1921      ,228
229,Myers,Jerome,Jerome Myers,1867      ,1940      ,229
230,Neagle,John,John Neagle,1796      ,1865      ,230
231,Newman,Robert Loftin,Robert Loftin Newman,1827      ,1912      ,231
232,Nichols,Henry Hobart,Henry Hobart Nichols,1869      ,1962      ,232
233,Page,William,William Page,1811      ,1885      ,233
234,Palmer,Walter Launt,Walter Launt Palmer,1854      ,1932      ,234
235,Paradise,John,John Paradise,1783      ,1833      ,235
236,Parrish,Maxfield,Maxfield Parrish,1870      ,1966      ,236
237,Parshall,Dewitt,Dewitt Parshall,1864      ,1956      ,237
238,Paxton,William McGregor,William McGregor Paxton,1869      ,1941      ,238
239,Peale,Charles Willson,Charles Willson Peale,1741      ,1827      ,239
240,Peale,James,James Peale,1749      ,1831      ,240
241,Peale,Raphaelle,Raphaelle Peale,1774      ,1825      ,241
242,Peale,Rembrandt,Rembrandt Peale,1778      ,1860      ,242
243,Pearce,Charles Sprague,Charles Sprague Pearce,1851      ,1914      ,243
244,Peckham,Robert,Robert Peckham,1785      ,1877      ,244
245,Perry,Enoch Wood,Enoch Wood Perry,1831      ,1915      ,245
246,Peto,John F.,John F. Peto,1854      ,1907      ,246
247,Phillips,Ammi,Ammi Phillips,1788      ,1865      ,247
248,Phillips,Jay Campbell,Jay Campbell Phillips,1873      ,1948      ,248
249,Picknell,William Lamb,William Lamb Picknell,1853      ,1897      ,249
250,Pillement,Jean,Jean Pillement,1728      ,1808      ,250
251,Pine,Theodore E.,Theodore E. Pine,1827      ,1905      ,251
252,Polk,Charles Peale,Charles Peale Polk,1767      ,1822      ,252
253,Pope,Alexander,Alexander Pope,1849      ,1924      ,253
254,Pratt,Matthew,Matthew Pratt,1734      ,1805      ,254
255,Prendergast,Maurice Brazil,Maurice Brazil Prendergast,1858      ,1924      ,255
256,Williams,Esther Baldwin,Esther Baldwin Williams,1867      ,1964      ,256
257,Quidor,John,John Quidor,1801      ,1881      ,257
258,Raleigh,Charles Sidney,Charles Sidney Raleigh,1830      ,1925      ,258
259,Ranger,Henry Ward,Henry Ward Ranger,1858      ,1916      ,259
260,Rasmussen,John,John Rasmussen,1828      ,1895      ,260
261,Redfield,Edward Willis,Edward Willis Redfield,1869      ,1965      ,261
262,Reid,Robert,Robert Reid,1862      ,1929      ,262
263,Remington,Frederic,Frederic Remington,1861      ,1909      ,263
264,Richards,William Trost,William Trost Richards,1833      ,1905      ,264
265,Richardt,Ferdinand,Ferdinand Richardt,1819      ,1895      ,265
266,Robinson,Theodore,Theodore Robinson,1852      ,1896      ,266
267,Roesen,Severin,Severin Roesen,1816      ,1872      ,267
268,Rossiter,Thomas Pritchard,Thomas Pritchard Rossiter,1818      ,1871      ,268
269,Ryder,Chauncey F.,Chauncey F. Ryder,1868      ,1949      ,269
270,Ryder,Platt Powell,Platt Powell Ryder,1821      ,1896      ,270
271,Salmon,Robert,Robert Salmon,1755      ,1844      ,271
272,Sargent,John Singer,John Singer Sargent,1856      ,1925      ,272
273,Curran,Charles Courtney,Charles Courtney Curran,1861      ,1942      ,273
274,Schenck,William H.,William H. Schenck,1809      ,1909      ,274
275,Schofield,Walter Elmer,Walter Elmer Schofield,1869      ,1944      ,275
276,Schreyvogel,Charles,Charles Schreyvogel,1861      ,1912      ,276
277,Schuyler,Limner,Limner Schuyler,1670      ,1770      ,277
278,Sexton,Samuel H.,Samuel H. Sexton,1813      ,1890      ,278
279,Shannon,James Jebusa,James Jebusa Shannon,1862      ,1923      ,279
280,Shaw,Joshua,Joshua Shaw,1776      ,1861      ,280
281,Shilling,Alexander,Alexander Shilling,1859      ,1937      ,281
282,Shirlaw,Walter,Walter Shirlaw,1838      ,1909      ,282
283,Smibert,John,John Smibert,1688      ,1751      ,283
284,Smillie,George Henry,George Henry Smillie,1840      ,1920      ,284
285,Sonntag,William Louis,William Louis Sonntag,1822      ,1900      ,285
286,Spencer,Frederick R.,Frederick R. Spencer,1806      ,1875      ,286
287,Sterner,Albert,Albert Sterner,1863      ,1946      ,287
288,Steward,Joseph,Joseph Steward,1753      ,1822      ,288
289,Stiepevich,Vincent G.,Vincent G. Stiepevich,1841      ,1911      ,289
290,Stock,Joseph Whiting,Joseph Whiting Stock,1815      ,1855      ,290
291,Stone,William Oliver,William Oliver Stone,1830      ,1875      ,291
292,Story,George Henry,George Henry Story,1835      ,1922      ,292
293,Sullivan,M. A.,M. A. Sullivan,1818      ,1918      ,293
294,Sully,Thomas,Thomas Sully,1783      ,1872      ,294
295,Sully,Thomas Wilcocks,Thomas Wilcocks Sully,1811      ,1847      ,295
296,Symons,George Gardner,George Gardner Symons,1861      ,1930      ,296
297,Taber,Edward Martin,Edward Martin Taber,1863      ,1896      ,297
298,Tack,Augustus Vincent,Augustus Vincent Tack,1870      ,1949      ,298
299,Tait,Arthur Fitzwilliam,Arthur Fitzwilliam Tait,1819      ,1905      ,299
300,Talcott,Allen B.,Allen B. Talcott,1867      ,1908      ,300
301,Tarbell,Edmund Charles,Edmund Charles Tarbell,1862      ,1938      ,301
302,Thayer,Abbott H.,Abbott H. Thayer,1849      ,1921      ,302
303,Theus,Jeremiah,Jeremiah Theus,1716      ,1774      ,303
304,Thomas,Stephen Seymour,Stephen Seymour Thomas,1868      ,1956      ,304
305,Thompson,Alfred Wordsworth,Alfred Wordsworth Thompson,1840      ,1896      ,305
306,Thompson,Cephas,Cephas Thompson,1775      ,1856      ,306
307,Thompson,Cephas Giovanni,Cephas Giovanni Thompson,1809      ,1888      ,307
308,Thompson,Jerome B.,Jerome B. Thompson,1814      ,1886      ,308
309,Thompson,Thomas,Thomas Thompson,1775      ,1852      ,309
310,Tiffany,Louis Comfort,Louis Comfort Tiffany,1848      ,1933      ,310
311,Tolman,Stacy,Stacy Tolman,1860      ,1935      ,311
312,Trego,Jonathan K.,Jonathan K. Trego,1817      ,1868      ,312
313,Trumbull,John,John Trumbull,1756      ,1843      ,313
314,Tryon,Dwight William,Dwight William Tryon,1849      ,1925      ,314
315,Tucker,Allen,Allen Tucker,1866      ,1939      ,315
316,Twachtman,John Henry,John Henry Twachtman,1853      ,1902      ,316
317,Ulrich,Charles Frederick,Charles Frederick Ulrich,1858      ,1908      ,317
318,Tieling,Lodewijk,Lodewijk Tieling,Unknown,Unknown,318
319,Chinese,Painter,Painter Chinese,Unknown,Unknown,319
320,Unknown Artist,blank_,Unknown Artist,Unknown,Unknown,320
321,Stanley,John Mix,John Mix Stanley,1814      ,1872      ,321
322,Vanderlyn,Pieter,Pieter Vanderlyn,1687      ,1778      ,322
323,Kneller,Godfrey,Godfrey Kneller,1646      ,1723      ,323
324,Whistler,James McNeill,James McNeill Whistler,1834      ,1903      ,324
325,Vanderlyn,John,John Vanderlyn,1775      ,1852      ,325
326,Vedder,Elihu,Elihu Vedder,1836      ,1923      ,326
327,Volk,Douglas,Douglas Volk,1856      ,1935      ,327
328,Vonnoh,Robert W.,Robert W. Vonnoh,1858      ,1933      ,328
329,Vos,Hubert,Hubert Vos,1855      ,1935      ,329
330,Waite,A. P.,A. P. Waite,Unknown,Unknown      ,330
331,Waldo,Samuel Lovett,Samuel Lovett Waldo,1783      ,1861      ,331
332,Wales,J. C.,J. C. Wales,Unknown,Unknown      ,332
333,Walker,Henry Oliver,Henry Oliver Walker,1843      ,1929      ,333
334,Walker,Horatio,Horatio Walker,1858      ,1938      ,334
335,Waller,Frank,Frank Waller,1842      ,1923      ,335
336,Ward,Charles Caleb,Charles Caleb Ward,1831      ,1896      ,336
337,Ward,Edgar Melville,Edgar Melville Ward,1839      ,1915      ,337
338,Watrous,Harry W.,Harry W. Watrous,1857      ,1940      ,338
339,Waugh,Frederick J,Frederick J Waugh,1861      ,1940      ,339
340,Weeks,Edwin Lord,Edwin Lord Weeks,1849      ,1903      ,340
341,Weir,John Ferguson,John Ferguson Weir,1841      ,1926      ,341
342,Weir,Julian Alden,Julian Alden Weir,1852      ,1919      ,342
343,Weir,Robert Walter,Robert Walter Weir,1803      ,1889      ,343
344,Wentworth,Catherine D.,Catherine D. Wentworth,1865      ,1948      ,344
345,Wertmuller,Adolph Ulrich,Adolph Ulrich Wertmuller,1751      ,1811      ,345
346,West,Benjamin,Benjamin West,1738      ,1820      ,346
347,White,Edwin,Edwin White,1817      ,1877      ,347
348,Whittredge,Worthington,Worthington Whittredge,1820      ,1910      ,348
349,Wiles,Irving Ramsey,Irving Ramsey Wiles,1861      ,1948      ,349
350,Williams,William,William Williams,1727      ,1791      ,350
351,Wollaston,John,John Wollaston,1700      ,1800      ,351
352,Wood,Joseph,Joseph Wood,1778      ,1830      ,352
353,Wood,Thomas Waterman,Thomas Waterman Wood,1823      ,1903      ,353
354,Woodside,John A.,John A. Woodside,1781      ,1852      ,354
355,Wyant,Alexander H.,Alexander H. Wyant,1836      ,1892      ,355
356,Yewell,George Henry,George Henry Yewell,1830      ,1923      ,356
357,Young,Harvey O.,Harvey O. Young,1840      ,1901      ,357
358,Wores,Theodore,Theodore Wores,1859      ,1939      ,358
359,Beal,Gifford,Gifford Beal,1879      ,1956      ,359
360,Lang,Annie Traquair,Annie Traquair Lang,1885      ,1918      ,360
361,Jennys,William,William Jennys,1748      ,1848      ,361
362,Beal,Reynolds,Reynolds Beal,1867      ,1951      ,362
363,Green,James,James Green,1771      ,1834      ,363
364,Cushing,Howard,Howard Cushing,1869      ,1917      ,364
365,Kronberg,Louis,Louis Kronberg,1872      ,1965      ,365
366,Eakins,Susan Macdowell,Susan Macdowell Eakins,1851      ,1938      ,366
367,Spencer,Lilly Martin,Lilly Martin Spencer,1822      ,1902      ,367
368,Ream,Carducius Plantagenet,Carducius Plantagenet Ream,1838      ,1917      ,368
369,Kauffmann,Angelica,Angelica Kauffmann,1741      ,1807      ,369
370,Tanner,Henry Ossawa,Henry Ossawa Tanner,1859      ,1937      ,370
371,Kilburn,,Kilburn,1720      ,1775      ,371
372,Browere,Albertis del Orient,Albertis del Orient Browere,1814      ,1887      ,372
373,Twibill,George W. Jr.,George W. Jr. Twibill,1806      ,1836      ,373
374,Shattuck,Aaron Draper,Aaron Draper Shattuck,1832      ,1928      ,374
375,Rand,Ellen Emmet,Ellen Emmet Rand,1875      ,1941      ,375
376,Wiggins,Guy C.,Guy C. Wiggins,1883      ,1962      ,376
377,Spencer,Robert,Robert Spencer,1879      ,1931      ,377
378,Henri,Robert,Robert Henri,1865      ,1929      ,378
379,Lever,Hayley,Hayley Lever,1876      ,1958      ,379
380,Glackens,William James,William James Glackens,1870      ,1938      ,380
381,Washburn,Miriam,Miriam Washburn,1865      ,1930      ,381
382,Eilshemius,Louis Michel,Louis Michel Eilshemius,1864      ,1941      ,382
383,Peterson,Jane,Jane Peterson,1876      ,1965      ,383
384,Shinn,Everett,Everett Shinn,1876      ,1953      ,384
385,Luks,George,George Luks,1866      ,1933      ,385
386,Sloan,John,John Sloan,1871      ,1951      ,386
387,Hale,Lilian Westcott,Lilian Westcott Hale,1881      ,1963      ,387
388,Johansen,John Christen,John Christen Johansen,1876      ,1964      ,388
389,Garber,Daniel,Daniel Garber,1880      ,1958      ,389
390,Higgins,Eugene,Eugene Higgins,1874      ,1958      ,390
391,Browne,George Elmer,George Elmer Browne,1871      ,1946      ,391
392,de Groot,Adelaide Milton,Adelaide Milton de Groot,1876      ,1967      ,392
393,Price,Clayton S.,Clayton S. Price,1874      ,1950      ,393
394,Moses,Anna Mary Robertson,Anna Mary Robertson Moses,1860      ,1961      ,394
395,Robinson,Boardman,Boardman Robinson,1876      ,1952      ,395
396,Emmet,Lydia Field,Lydia Field Emmet,1866      ,1952      ,396
397,Preston,James,James Preston,1873      ,1962      ,397
398,Kane,John,John Kane,1860      ,1934      ,398
399,Barnes,Demah Prince,Demah Prince Barnes,Unknown,Unknown,399
400,de Forest,Lockwood,Lockwood de Forest,1850      ,1932      ,400
401,Wiley,Catherine,Catherine Wiley,1879      ,1958      ,401
402,Agostino Brunias,blank_,Agostino Brunias,1728      ,1796      ,402
403,Russell,Charles M.,Charles M. Russell,1864      ,1926      ,403
404,Anderson,Karl,Karl Anderson,1874      ,1956      ,404
